100+0i	0.814830066104837-5.63057449752157i
100.78125+0i	0.762982427635692-5.6283007043179i
101.5625+0i	0.733708485650719-5.64279135527845i
102.34375+0i	0.775947034633344-5.52956524188423i
103.125+0i	0.730635451569996-5.46835140250113i
103.90625+0i	0.782465003097328-5.36605850437319i
104.6875+0i	0.787233655292873-5.38004096945094i
105.46875+0i	0.803387600952085-5.34947334621063i
106.25+0i	0.786601676515626-5.30150711773262i
107.03125+0i	0.763982612785784-5.26192508159145i
107.8125+0i	0.798326063622143-5.20873387453578i
108.59375+0i	0.794293312238809-5.15124519942987i
109.375+0i	0.763474247503392-5.13987095090675i
110.15625+0i	0.778550588150828-5.11739952001759i
110.9375+0i	0.752387893505351-5.07508397630309i
111.71875+0i	0.739391212808186-5.07848399723347i
112.5+0i	0.717350651826167-5.012038119376i
113.28125+0i	0.692316755438775-4.98465758700517i
114.0625+0i	0.717313253022364-4.95399518101336i
114.84375+0i	0.739884005986983-4.91783598549465i
115.625+0i	0.734145671787199-4.87246439705451i
116.40625+0i	0.734175836134567-4.84355734720885i
117.1875+0i	0.722054283864749-4.84630644785406i
117.96875+0i	0.694731229616636-4.79451242830909i
118.75+0i	0.677088040457349-4.69899443764612i
119.53125+0i	0.701904960355526-4.68274210141445i
120.3125+0i	0.724199159491171-4.66474849472728i
121.09375+0i	0.729960769368254-4.65920569850367i
121.875+0i	0.695336444338797-4.60910900407042i
122.65625+0i	0.718448935630701-4.57661180260593i
123.4375+0i	0.694902258525383-4.53270851575891i
124.21875+0i	0.703709740850394-4.49973030389594i
125+0i	0.706293322017932-4.48865940464307i
125.78125+0i	0.674226663257194-4.46301518926304i
126.5625+0i	0.692683603543365-4.41819196297126i
127.34375+0i	0.684201080284161-4.37045889053292i
128.125+0i	0.679841678173023-4.34271320597574i
128.90625+0i	0.657825498549995-4.30944974746901i
129.6875+0i	0.675126270426181-4.27813630788703i
130.46875+0i	0.684305001479488-4.25528330666183i
131.25+0i	0.670629480221673-4.28031717513244i
132.03125+0i	0.669964271801516-4.20720175749324i
132.8125+0i	0.667886463585541-4.15849090656161i
133.59375+0i	0.674000870975024-4.15978938447237i
134.375+0i	0.665671363164586-4.11865318332818i
135.15625+0i	0.653834562404672-4.09304456249286i
135.9375+0i	0.657607651339676-4.07028709158914i
136.71875+0i	0.667516938504181-4.0374939882782i
137.5+0i	0.676056120001027-4.02053412044063i
138.28125+0i	0.687121019157215-3.99601752901267i
139.0625+0i	0.687349742519568-3.97067049032204i
139.84375+0i	0.660162832568666-3.92209545682354i
140.625+0i	0.656315944629831-3.89678297304138i
141.40625+0i	0.654176410640315-3.88524212114612i
142.1875+0i	0.642994090186759-3.8284791391073i
142.96875+0i	0.681992605125371-3.82439748609156i
143.75+0i	0.659934649419021-3.82508426998019i
144.53125+0i	0.661305224624264-3.78781668409418i
145.3125+0i	0.655880049000908-3.77070645807214i
146.09375+0i	0.659097017234227-3.72424352444102i
146.875+0i	0.655764876474642-3.69761660477343i
147.65625+0i	0.649692923361447-3.6974489945535i
148.4375+0i	0.63475285896841-3.66291587637491i
149.21875+0i	0.64072860132614-3.62728323362816i
150+0i	0.657120330179476-3.59622116145053i
150.78125+0i	0.648695707484806-3.59840010478214i
151.5625+0i	0.637701932758025-3.58190921293056i
152.34375+0i	0.618504512842323-3.52645677320566i
153.125+0i	0.622373838291573-3.51784447768731i
153.90625+0i	0.644287758482131-3.51069751226638i
154.6875+0i	0.634195112683239-3.47165592012808i
155.46875+0i	0.647717239713253-3.44620158516578i
156.25+0i	0.640013578052115-3.43814775774154i
157.03125+0i	0.629789359797723-3.43399019303643i
157.8125+0i	0.635878597595471-3.41813113937174i
158.59375+0i	0.632823972294946-3.38201978831201i
159.375+0i	0.633995273477042-3.33625441319324i
160.15625+0i	0.642149744657473-3.32146650100383i
160.9375+0i	0.617548950181132-3.28942478967091i
161.71875+0i	0.631516554082528-3.26481587718117i
162.5+0i	0.612329505171304-3.25597013997193i
163.28125+0i	0.613670875838698-3.23875843622859i
164.0625+0i	0.606865568895441-3.21746891477791i
164.84375+0i	0.625751423039105-3.20742560117717i
165.625+0i	0.63024019290307-3.17277694988261i
166.40625+0i	0.626539854433814-3.15268902169743i
167.1875+0i	0.624130256143279-3.1377677024972i
167.96875+0i	0.622612496952078-3.12858055386634i
168.75+0i	0.61555677053018-3.09509831144069i
169.53125+0i	0.610363260352738-3.07879841039058i
170.3125+0i	0.614783392203057-3.06620104412638i
171.09375+0i	0.629887875609689-3.04141252790186i
171.875+0i	0.628031842139461-3.0319399998392i
172.65625+0i	0.627244653628218-3.01210032003407i
173.4375+0i	0.628360191192308-3.00881005989822i
174.21875+0i	0.617678759939692-2.97230542429094i
175+0i	0.613417167405331-2.94923436518571i
175.78125+0i	0.613830020947408-2.94099531336641i
176.5625+0i	0.624240128447673-2.91279706409053i
177.34375+0i	0.610819560310899-2.89368493732023i
178.125+0i	0.609860586610499-2.88364784739824i
178.90625+0i	0.604820466747418-2.86649524714328i
179.6875+0i	0.594412860771063-2.84982748242204i
180.46875+0i	0.589111092176984-2.81751930166506i
181.25+0i	0.598993630324026-2.80030082460154i
182.03125+0i	0.597153040554136-2.79273097530408i
182.8125+0i	0.599328519461707-2.77399727999535i
183.59375+0i	0.602578804804666-2.75603520014797i
184.375+0i	0.605572612826269-2.73486403235872i
185.15625+0i	0.590573922296054-2.71735266395255i
185.9375+0i	0.597150831379014-2.70799913501473i
186.71875+0i	0.597999115593789-2.69524777846002i
187.5+0i	0.586123088361169-2.67741087265027i
188.28125+0i	0.594433985671359-2.65893738396305i
189.0625+0i	0.607609579232642-2.65197638882075i
189.84375+0i	0.607459446407022-2.63345706496488i
190.625+0i	0.602973018920944-2.62069105021168i
191.40625+0i	0.611674364363343-2.60487754229276i
192.1875+0i	0.601890584548425-2.59019006666781i
192.96875+0i	0.596287403907557-2.57501474544521i
193.75+0i	0.598174871784224-2.55083715889887i
194.53125+0i	0.594853955672917-2.53735363534897i
195.3125+0i	0.594332888896469-2.52221370977421i
196.09375+0i	0.584559705956817-2.49673651921513i
196.875+0i	0.591383046501648-2.48661178716704i
197.65625+0i	0.596447513620886-2.47587475585324i
198.4375+0i	0.595524535726204-2.46363027215437i
199.21875+0i	0.594433805393382-2.4473802714355i
200+0i	0.590828596982039-2.4386833185653i
200.78125+0i	0.586447722198827-2.42054033784466i
201.5625+0i	0.583561130491126-2.40587170961225i
202.34375+0i	0.587015243088512-2.38384299584779i
203.125+0i	0.594875758170452-2.36886718062294i
203.90625+0i	0.588487552355487-2.35906336442566i
204.6875+0i	0.585878541582565-2.35484148633094i
205.46875+0i	0.587239452483451-2.32947805893243i
206.25+0i	0.589971327820853-2.31704156774375i
207.03125+0i	0.588925953369375-2.29357241131178i
207.8125+0i	0.594717723054096-2.28153502037919i
208.59375+0i	0.586342479218213-2.26816085328643i
209.375+0i	0.586369348928469-2.25862730256755i
210.15625+0i	0.58885969829635-2.24254231560316i
210.9375+0i	0.59322079270595-2.23163418363536i
211.71875+0i	0.587220883851713-2.21211465470077i
212.5+0i	0.584738745250037-2.197277149273i
213.28125+0i	0.586457361814361-2.1874608030634i
214.0625+0i	0.585473069409427-2.17730915509159i
214.84375+0i	0.584078094582081-2.16725685124399i
215.625+0i	0.58486180789793-2.14990634565382i
216.40625+0i	0.58520100229025-2.13705840977116i
217.1875+0i	0.581429057480197-2.12504985094555i
217.96875+0i	0.584716226099837-2.11233598933996i
218.75+0i	0.579724163395914-2.09613421510084i
219.53125+0i	0.581253726008116-2.08454153953173i
220.3125+0i	0.58439021324721-2.07088975910428i
221.09375+0i	0.585650310605846-2.05601983259425i
221.875+0i	0.583821329935968-2.04819382818503i
222.65625+0i	0.584251128414905-2.03534487829856i
223.4375+0i	0.583938186813992-2.01972746887245i
224.21875+0i	0.586308368663616-2.01250413702197i
225+0i	0.57951408254795-2.00140279945922i
225.78125+0i	0.578571739191676-1.98452470213892i
226.5625+0i	0.576489582671293-1.97338550254461i
227.34375+0i	0.580897785567847-1.96138521336117i
228.125+0i	0.582708450502511-1.94865792185631i
228.90625+0i	0.578892385316204-1.93865237295825i
229.6875+0i	0.576625269129486-1.92841814884322i
230.46875+0i	0.576358688491067-1.91706313223467i
231.25+0i	0.579167281865787-1.89596408036864i
232.03125+0i	0.578038327561209-1.88940706426898i
232.8125+0i	0.575924923372718-1.87895688669633i
233.59375+0i	0.57756904645751-1.8667584801852i
234.375+0i	0.578490884347154-1.85312381884533i
235.15625+0i	0.575363513485777-1.84066855566303i
235.9375+0i	0.573872203735735-1.82825266836414i
236.71875+0i	0.575343472181011-1.81830116297821i
237.5+0i	0.576039907848132-1.8061515608881i
238.28125+0i	0.576238893286949-1.79587251635924i
239.0625+0i	0.577272577170737-1.78434528788112i
239.84375+0i	0.576055161476804-1.77267720232656i
240.625+0i	0.579408956940929-1.76210600695528i
241.40625+0i	0.581418993496236-1.75278307714076i
242.1875+0i	0.581009550253348-1.74057243916531i
242.96875+0i	0.581173897579672-1.72625168251636i
243.75+0i	0.580531204679121-1.71904170456654i
244.53125+0i	0.579359786271723-1.70916756031167i
245.3125+0i	0.578994533581944-1.69550398440412i
246.09375+0i	0.582360724509899-1.68721192360618i
246.875+0i	0.579616029734199-1.67079132590174i
247.65625+0i	0.579078770968635-1.66181361145572i
248.4375+0i	0.580625074516767-1.65361713437357i
249.21875+0i	0.579395324332086-1.64130627888703i
250+0i	0.579133650631226-1.63074337820131i
250.78125+0i	0.580267735666984-1.62384444116052i
251.5625+0i	0.577276094898922-1.60849830282195i
252.34375+0i	0.577642266070269-1.5968890446141i
253.125+0i	0.579014233755575-1.59049530193461i
253.90625+0i	0.579285372641068-1.57978578858261i
254.6875+0i	0.580694739008663-1.57023211555397i
255.46875+0i	0.577181408597308-1.55911420401315i
256.25+0i	0.578363262261231-1.55139269678135i
257.03125+0i	0.579756103402019-1.53983456348583i
257.8125+0i	0.580264921341058-1.52836291588982i
258.59375+0i	0.578190991442981-1.51778419701153i
259.375+0i	0.576592457237293-1.50930034985152i
260.15625+0i	0.576038809427792-1.49869306149866i
260.9375+0i	0.577944743549651-1.48884126195262i
261.71875+0i	0.577559512775429-1.47795206916004i
262.5+0i	0.579455539211749-1.46798440876019i
263.28125+0i	0.579156207949727-1.45647270957593i
264.0625+0i	0.578920425530525-1.44667266633246i
264.84375+0i	0.578321242432003-1.43792353324582i
265.625+0i	0.578806301956045-1.42959431405892i
266.40625+0i	0.579740589875495-1.42054530694467i
267.1875+0i	0.577970866059159-1.41060741564811i
267.96875+0i	0.57793831369948-1.39931552323569i
268.75+0i	0.576808536240954-1.39040613991697i
269.53125+0i	0.578429608621059-1.37920514174006i
270.3125+0i	0.578646501487787-1.37076040270846i
271.09375+0i	0.578504682420328-1.36132517274091i
271.875+0i	0.57873880121786-1.35213596534296i
272.65625+0i	0.579070919310986-1.34409687693689i
273.4375+0i	0.581450916343994-1.33325020964967i
274.21875+0i	0.580962620466084-1.32179704374376i
275+0i	0.579145397382567-1.31524193350557i
275.78125+0i	0.578076880727235-1.30653611103754i
